trip_id,arrival_time,departure_time,stop_id,stop_sequence
IC1.001,06:07:00,06:07:00,8503000,1
IC1.001,06:21:00,06:22:00,8500120,2
IC1.001,06:37:00,06:38:00,8500218,3
IC1.001,06:51:00,06:52:00,8507000,4
IC1.002,07:07:00,07:07:00,8503000,1
IC1.002,07:23:00,07:24:00,8500120,2
IC1.002,07:32:00,07:33:00,8500218,3
IC1.002,07:44:00,07:45:00,8507000,4
IC1.003,08:07:00,08:07:00,8503000,1
IC1.003,08:23:00,08:24:00,8500120,2
IC1.003,08:34:00,08:35:00,8500218,3
IC1.003,08:50:00,08:51:00,8507000,4
IC1.004,09:07:00,09:07:00,8503000,1
IC1.004,09:16:00,09:17:00,8500120,2
IC1.004,09:28:00,09:29:00,8500218,3
IC1.004,09:39:00,09:40:00,8507000,4
IC1.005,10:07:00,10:07:00,8503000,1
IC1.005,10:18:00,10:19:00,8500120,2
IC1.005,10:27:00,10:28:00,8500218,3
IC1.005,10:36:00,10:37:00,8507000,4
IC1.006,11:07:00,11:07:00,8503000,1
IC1.006,11:19:00,11:20:00,8500120,2
IC1.006,11:31:00,11:32:00,8500218,3
IC1.006,11:45:00,11:46:00,8507000,4
IC1.007,12:07:00,12:07:00,8503000,1
IC1.007,12:16:00,12:17:00,8500120,2
IC1.007,12:30:00,12:31:00,8500218,3
IC1.007,12:39:00,12:40:00,8507000,4
IC1.008,13:07:00,13:07:00,8503000,1
IC1.008,13:23:00,13:24:00,8500120,2
IC1.008,13:35:00,13:36:00,8500218,3
IC1.008,13:46:00,13:47:00,8507000,4
IC1.009,14:07:00,14:07:00,8503000,1
IC1.009,14:21:00,14:22:00,8500120,2
IC1.009,14:32:00,14:33:00,8500218,3
IC1.009,14:48:00,14:49:00,8507000,4
IC1.010,15:07:00,15:07:00,8503000,1
IC1.010,15:19:00,15:20:00,8500120,2
IC1.010,15:28:00,15:29:00,8500218,3
IC1.010,15:42:00,15:43:00,8507000,4
IC1.011,16:07:00,16:07:00,8503000,1
IC1.011,16:21:00,16:22:00,8500120,2
IC1.011,16:35:00,16:36:00,8500218,3
IC1.011,16:51:00,16:52:00,8507000,4
IC1.012,17:07:00,17:07:00,8503000,1
IC1.012,17:16:00,17:17:00,8500120,2
IC1.012,17:30:00,17:31:00,8500218,3
IC1.012,17:42:00,17:43:00,8507000,4
IC1.013,18:07:00,18:07:00,8503000,1
IC1.013,18:19:00,18:20:00,8500120,2
IC1.013,18:31:00,18:32:00,8500218,3
IC1.013,18:40:00,18:41:00,8507000,4
IC1.014,19:07:00,19:07:00,8503000,1
IC1.014,19:21:00,19:22:00,8500120,2
IC1.014,19:37:00,19:38:00,8500218,3
